zipcode,E_TOTPOP.zip,SVI_SES,SVI_household.disability,SVI_minority.language,SVI_house.transport,SVI_overall,Town,eohhs,eohhs_name,town_population
02052,12748,0.06400275337307813,0.2647719956071541,0.19262789457169752,0.1755563539378726,0.0796255177282711,Medfield,4,Metro West,12955
02053,13244,0.2424045983086681,0.31694112050739953,0.1867171247357294,0.14442595137420716,0.12567690274841437,Medway,2,Central,13479
02054,8202,0.0802,0.4487,0.2864,0.3539,0.2073,Millis,4,Metro West,8310
02056,11748,0.2341946629213483,0.12158539325842696,0.3752484082397004,0.0803743445692884,0.08222322097378278,Norfolk,4,Metro West,12003
02061,16984,0.19741932995760716,0.5321930581723976,0.06106882359868111,0.4529574364107395,0.26386289448893074,Norwell,4,Metro West,11153
02062,29201,0.3673210643471114,0.4582085647751789,0.438715468648334,0.5568314509777063,0.46282779699325366,Norwood,4,Metro West,29725
02066,18591,0.15548678930665374,0.4792162982088108,0.1042288849443279,0.12518627830670753,0.10538125437039428,Scituate,4,Metro West,18924
02067,18400,0.09620523369565216,0.3885200597826087,0.4800243423913043,0.20729829347826087,0.18682140217391302,Sharon,4,Metro West,18895
02071,18778,0.385063036532112,0.2101351155607626,0.49912475769517517,0.2976572052401747,0.2905999360954308,Walpole,4,Metro West,25200
02072,36091,0.44828018896677846,0.5507095757945194,0.5951338727106481,0.322371402842814,0.45277120334709486,Stoughton,5,Southeast,28915
02081,30697,0.2496122389810079,0.40157778284522916,0.38269821806691207,0.2744134801446395,0.2561013063165782,Walpole,4,Metro West,25200
02090,26990,0.27177741385698406,0.5916147017413856,0.355232823267877,0.5125584846239348,0.410875483512412,Westwood,4,Metro West,16400
02093,11734,0.21434446906425772,0.24912733935571843,0.11703289585818986,0.26723664564513383,0.12556698483040737,Wrentham,4,Metro West,12023
02108,18361,0.46541860465116275,0.1510274059147105,0.48465763847285004,0.7900578454332553,0.5285775720276673,Back Bay Downtown,6,Boston,55698
02109,20167,0.45331352209054393,0.14931549561164276,0.5196620964942729,0.8361834730004463,0.5383251301631378,Back Bay Downtown,6,Boston,55698
02110,12630,0.6299041171813143,0.19977775138558984,0.6316321852731591,0.9917098574821853,0.7524858273950911,Back Bay Downtown,6,Boston,55698
02111,12697,0.7796922737654565,0.08236637788453964,0.8941015042923525,0.9923661101047491,0.8340860203197605,South End,6,Boston,35756
02113,14906,0.32879491479940964,0.17999580705756071,0.34014455252918285,0.7568168925264994,0.40264402924996645,Back Bay Downtown,6,Boston,55698
02114,23262,0.314443818244347,0.13403727968360415,0.4139478290774654,0.7244631201100508,0.39503931304273066,Back Bay Downtown,6,Boston,55698
02115,54474,0.7310450673715901,0.12143997503396116,0.7170073686529354,0.968135941917245,0.7138380787164519,Fenway,6,Boston,54727
02116,42755,0.4317428020114606,0.1037291568237633,0.6698806806221494,0.8547352286282307,0.5319197216699801,Back Bay Downtown,6,Boston,55698
02118,42797,0.674756929224011,0.38030728789401125,0.7737501086524757,0.8500305184942869,0.7203510853564502,South End,6,Boston,35756
02119,46674,0.9105848523803403,0.6498476367999314,0.9026693191069974,0.8128455778377685,0.8919366885203753,Roxbury,6,Boston,43127
02120,30646,0.8891399628010181,0.42136071265417996,0.8348763035959016,0.8947606539189453,0.8700644195000978,Roxbury,6,Boston,43127
02121,42446,0.9473239268717901,0.9207714060217688,0.9194030226640908,0.7466120411817367,0.9415623780803846,Dorchester Uphams,6,Boston,64277
02122,52407,0.744687532199897,0.57554397313336,0.8580050890148262,0.5948830995859332,0.7480539279103936,Dorchester Codman,6,Boston,80880
02124,71852,0.8375129140455381,0.8021989589712186,0.8625861799254022,0.6623278127261594,0.8480509032455603,Dorchester Codman,6,Boston,80880
02125,43351,0.8203440128255404,0.5490268782727042,0.8935221632718968,0.6690397776291205,0.806109289289751,Dorchester Uphams,6,Boston,64277
02126,49817,0.8640867274223659,0.8873553786859907,0.9068995202440935,0.7502659714555273,0.9052692293795291,Mattapan,6,Boston,29591
02127,43489,0.3649383315321115,0.23450544505507143,0.4408690979328106,0.626109820874244,0.35543806249856286,South Boston,6,Boston,40094
02128,46927,0.7919291857566007,0.5546424915293967,0.9507168495748716,0.8369748971807276,0.8521982419502632,East Boston,6,Boston,46927
02129,19414,0.3425045122076852,0.23462949933038013,0.6184213866282064,0.56872843824044506,0.3991709333470691,Charlestown,6,Boston,19414
02130,53755,0.5504186791926332,0.32253296809599113,0.7469240200911543,0.6232158738721979,0.5978199962794158,Jamaica Plain,6,Boston,40377
02131,49743,0.6329391452063607,0.5656355446997567,0.8022511629777054,0.5561895281748186,0.6889500552841606,Roslindale,6,Boston,33771
02132,43428,0.4171507414571245,0.4585698512480427,0.5887685617573916,0.5965475568757483,0.5327960371189094,West Roxbury,6,Boston,28487
02134,37679,0.6592037155975478,0.03425994320443748,0.7131778072666473,0.847831683431089,0.5743105071790653,Allston Brighton,6,Boston,66585
02135,54669,0.5899809453255044,0.10130171943880445,0.7087565731950465,0.773993414915217,0.5615587627357369,Allston Brighton,6,Boston,66585
02136,44462,0.743107725698349,0.7353229004543206,0.8620078808870496,0.6851472808240745,0.8228198709009942,Hyde Park,6,Boston,68446
02138,61836,0.40167522640533027,0.1364069603467236,0.5059758085904651,0.7464271023352093,0.42346729089850577,Cambridge,4,Metro West,118927
02139,55969,0.46213340241919637,0.07720884239489717,0.5642218102878379,0.7823635173042219,0.4589989583519448,Cambridge,4,Metro West,118927
02140,38096,0.34108243647627046,0.11073529504409911,0.5305594445611087,0.7719619356362872,0.42474310163796725,Cambridge,4,Metro West,118927
02141,20444,0.43941229700645673,0.1473342887888867,0.7023023380943063,0.611576711993739,0.4497298718450401,Cambridge,4,Metro West,118927
02142,13792,0.507548752900232,0.12668281612529003,0.6122915023201856,0.7982701203596287,0.5180551696635731,Cambridge,4,Metro West,118927
02143,33041,0.44068106897490994,0.08931164916316092,0.6215813292575891,0.7300292485094277,0.4122822341938803,Somerville,4,Metro West,81360
02144,40028,0.29396330068951737,0.0520123338662936,0.44822937943439595,0.530528712401319,0.22807002348356153,Somerville,4,Metro West,81360
02145,32698,0.5976060737659795,0.1364859104532387,0.7522956786347789,0.7180623340877118,0.5799067282402594,Somerville,4,Metro West,81360
02148,65293,0.7108093869174337,0.36591334293109523,0.852629023019313,0.7204944358507038,0.7453886480939764,Malden,3,Northeast,60470
