date,Town,quartile.SVI_overall,town_population,Count2wk,SVI_overall,eohhs_name
2021-03-18,Leominster,3,41716,126,0.6993952823344484,Central
2021-03-18,Randolph,3,34362,105,0.7194572938582038,Metro West
2021-03-18,Clarksburg,3,1638,0,0.7434401175246373,Western
2021-03-18,North Adams,3,12730,11,0.7434401175246373,Western
2021-03-18,Malden,3,60470,230,0.7453886480939764,Northeast
2021-03-18,South End,3,35756,91,0.7463735827296644,Boston
2021-03-18,Worcester,3,185428,547,0.7478125974598236,Central
2021-03-18,New Bedford,4,95363,261,0.7618810964307428,Southeast
2021-03-18,Fitchburg,4,40638,121,0.7675924232644067,Central
2021-03-18,Revere,4,53073,250,0.7799411540207468,Boston
2021-03-18,Lynn,4,94299,340,0.7821289551787368,Northeast
2021-03-18,Fall River,4,89541,275,0.7909471106798017,Southeast
2021-03-18,Everett,4,46451,226,0.7946761799951089,Northeast
2021-03-18,Southbridge,4,16878,70,0.7976409257724637,Central
2021-03-18,Lowell,4,110997,416,0.8027664675216498,Northeast
2021-03-18,Holyoke,4,40117,148,0.8052782370715276,Western
2021-03-18,Dorchester Codman,4,80880,276,0.8058765618586984,Boston
2021-03-18,Hyde Park,4,68446,113,0.8228198709009942,Boston
2021-03-18,Brockton,4,95708,275,0.8228599020903105,Southeast
2021-03-18,East Boston,4,46927,143,0.8521982419502632,Boston
2021-03-18,Springfield,4,153606,587,0.8596219077209748,Western
2021-03-18,Dorchester Uphams,4,64277,285,0.8731214436402206,Boston
2021-03-18,Roxbury,4,43127,141,0.8832675530263838,Boston
2021-03-18,Chelsea,4,39690,98,0.8885439250225836,Boston
2021-03-18,Mattapan,4,29591,88,0.9052692293795291,Boston
2021-03-18,Lawrence,4,80028,292,0.908547656681321,Northeast
2021-01-21,Unknown town,NA,NA,NA,NA,NA
